MPI ranks / worker cores:	Test	Run	Energy_J	Runtime_s	Performance	Avg_Power_W
1	Test C2	1	418286.951	5518.441	152010.461226	75.798026
1	Test C2	2	475344.725	5637.284	148805.832068	84.321579
1	Test C2	3	407640.771	5590.786	150043.446104	72.912963
1	Test C2	4	256928.426	5705.860	147017.404707	45.028866
1	Test C2	5	446360.702	5819.821	144138.596291	76.696640
1	Test C2	6	522977.182	5587.559	150130.091646	93.596711
1	Test C2	7	227783.782	5775.709	145239.460828	39.438240
1	Test C2	8	408070.205	5780.820	145111.047975	70.590371
1	Test C2	9	378606.520	5670.722	147928.394603	66.765135
1	Test C2	10	556831.082	5408.817	155091.364400	102.948776
1	Test C2	11	524183.875	5721.147	146624.594151	91.622171
1	Test C2	12	509097.783	5661.808	148161.296928	89.917884
1	Test C2	13	519560.744	5662.500	148143.193215	91.754660
1	Test C2	14	467735.840	5734.659	146279.113934	81.562977
1	Test C2	15	638768.551	5553.248	151057.693581	115.026121
1	Test C2	16	338442.053	5517.133	152046.503996	61.343826
1	Test C2	17	437055.829	5708.515	146949.034604	76.562085
1	Test C2	18	634973.770	5678.693	147720.743199	111.816880
1	Test C2	19	406045.138	5697.066	147244.351732	71.272675
1	Test C2	20	465731.743	5601.667	149751.999241	83.141636
1	Test C2	21	501630.037	5722.333	146594.184268	87.661798
1	Test C2	22	363254.580	5598.043	149848.931119	64.889563
1	Test C2	23	467382.657	5471.991	153300.824471	85.413631
1	Test C2	24	588787.995	5737.213	146213.993732	102.626138
1	Test C2	25	341507.497	5879.020	142687.186917	58.089190
2	Test C2	1	178785.903	3141.790	267000.952054	56.905754
2	Test C2	2	146368.561	3069.305	273306.425420	47.687850
2	Test C2	3	157609.305	3133.954	267668.539528	50.290886
2	Test C2	4	148439.148	3142.577	266934.024366	47.234844
2	Test C2	5	213992.659	3095.369	271005.065481	69.133156
2	Test C2	6	165177.644	3056.291	274470.165437	54.045123
2	Test C2	7	191603.599	3053.636	274708.841369	62.746051
2	Test C2	8	224921.644	3004.013	279246.693471	74.873716
2	Test C2	9	147965.220	3172.973	264376.876598	46.632985
2	Test C2	10	199571.211	3147.125	266548.332421	63.413827
2	Test C2	11	129315.545	3050.780	274966.038496	42.387704
2	Test C2	12	219742.086	3047.668	275246.816868	72.101724
2	Test C2	13	166427.367	3085.216	271896.952421	53.943508
2	Test C2	14	175658.815	3092.769	271232.889053	56.796608
2	Test C2	15	174500.771	2999.028	279710.913003	58.185780
2	Test C2	16	183096.602	3127.416	268228.123265	58.545659
2	Test C2	17	151755.772	3069.222	273313.832165	49.444379
2	Test C2	18	166479.800	2946.774	284670.871956	56.495607
2	Test C2	19	193148.711	3117.097	269116.068293	61.964299
2	Test C2	20	175830.735	3082.433	272142.402141	57.042836
2	Test C2	21	180253.231	3101.096	270504.649892	58.125659
2	Test C2	22	221961.448	3142.616	266930.748676	70.629520
2	Test C2	23	149389.714	3092.599	271247.828508	48.305554
2	Test C2	24	166184.377	3138.726	267261.574561	52.946446
2	Test C2	25	189612.721	3044.376	275544.382674	62.282944
4	Test C2	1	95070.172	1571.660	533742.044099	60.490308
4	Test C2	2	93529.210	1501.738	558593.187193	62.280630
4	Test C2	3	120736.233	1527.817	549058.464486	79.025329
4	Test C2	4	78811.680	1547.095	542216.730124	50.941719
4	Test C2	5	56078.995	1522.779	550874.892334	36.826742
4	Test C2	6	166377.619	1524.367	550301.041418	109.145376
4	Test C2	7	120405.602	1515.101	553666.447737	79.470327
4	Test C2	8	157120.445	1509.260	555809.420498	104.104308
4	Test C2	9	129198.152	1516.918	553003.314764	85.171469
4	Test C2	10	105289.258	1479.250	567085.054751	71.177441
4	Test C2	11	51110.131	1534.010	546841.661339	33.317982
4	Test C2	12	119705.868	1519.709	551987.869524	78.768953
4	Test C2	13	135532.570	1476.256	568235.332548	91.808313
4	Test C2	14	120041.512	1500.045	559223.613611	80.025253
4	Test C2	15	130045.090	1463.259	573282.534203	88.873600
4	Test C2	16	89975.820	1546.422	542452.743464	58.183230
4	Test C2	17	111984.657	1546.649	542372.996943	72.404688
4	Test C2	18	70489.898	1514.756	553792.672237	46.535479
4	Test C2	19	111198.309	1470.061	570629.830881	75.641957
4	Test C2	20	71553.871	1543.032	543644.603780	46.372266
4	Test C2	21	65352.783	1542.378	543874.868855	42.371435
4	Test C2	22	147039.005	1527.462	549185.948275	96.263594
4	Test C2	23	113756.000	1581.211	530518.009073	71.942337
4	Test C2	24	142514.364	1504.189	557683.123817	94.744987
4	Test C2	25	142425.360	1505.207	557305.799927	94.621753
8	Test C2	1	71073.028	917.134	914654.520281	77.494701
8	Test C2	2	51591.507	883.447	949531.689479	58.397974
8	Test C2	3	86288.454	874.489	959257.911912	98.672964
8	Test C2	4	60778.735	884.262	948656.538846	68.733864
8	Test C2	5	64534.807	896.907	935281.446833	71.952590
8	Test C2	6	89227.847	873.180	960696.739389	102.187278
8	Test C2	7	69298.345	881.084	952078.513602	78.651268
8	Test C2	8	91371.807	906.652	925229.183123	100.779370
8	Test C2	9	70792.657	885.761	947051.076982	79.922989
8	Test C2	10	66315.047	905.663	926239.832451	73.222682
8	Test C2	11	81048.308	920.122	911684.443290	88.084318
8	Test C2	12	74604.971	898.057	934084.246535	83.073769
8	Test C2	13	70418.332	881.382	951755.979014	79.895340
8	Test C2	14	93616.505	886.112	946676.038267	105.648639
8	Test C2	15	66894.513	902.321	929669.615026	74.136015
8	Test C2	16	70222.105	914.632	917156.455116	76.776334
8	Test C2	17	63708.644	887.538	945154.597958	71.781299
8	Test C2	18	80912.409	912.384	919416.371898	88.682406
8	Test C2	19	77856.186	881.241	951908.681976	88.348364
8	Test C2	20	75643.777	881.335	951806.623133	85.828599
8	Test C2	21	97498.740	876.953	956563.262338	111.179010
8	Test C2	22	77682.845	853.192	983202.388269	91.049623
8	Test C2	23	78469.480	917.600	914190.486598	85.516038
8	Test C2	24	85807.823	896.289	935926.181786	95.736728
8	Test C2	25	57533.790	934.258	897889.646154	61.582321
16	Test C2	1	51951.355	512.572	1636571.303982	101.354238
16	Test C2	2	52937.214	514.417	1630701.247472	102.907158
16	Test C2	3	56747.180	517.938	1619617.716077	109.563754
16	Test C2	4	56579.884	532.811	1574405.050761	106.191224
16	Test C2	5	47072.302	513.349	1634093.398796	91.696427
16	Test C2	6	55017.314	545.720	1537163.861419	100.816044
16	Test C2	7	55055.423	516.381	1624499.660422	106.617827
16	Test C2	8	42468.235	516.986	1622598.490395	82.145804
16	Test C2	9	52950.046	506.143	1657359.150035	104.614786
16	Test C2	10	47122.229	512.829	1635751.352868	91.886819
16	Test C2	11	49539.907	536.876	1562484.179441	92.274333
16	Test C2	12	45670.401	502.385	1669756.369170	90.907147
16	Test C2	13	61093.410	532.094	1576526.852008	114.816906
