Test	Rank	Run	Energy_J	Runtime_s	Performance
Test A	1	1	39609.811	498.681732	1682156.666471
echo "Test A	1	1	39609.811	498.748619	1681931.073787
Test A	1	2	45907.62	498.748619	1681931.073787
echo "Test A	1	2	45907.62	498.697363	1682103.940275
Test A	1	3	41897.955	498.697363	1682103.940275
echo "Test A	1	3	41897.955	498.674376	1682181.479671
Test A	1	4	42780.254	498.674376	1682181.479671
echo "Test A	1	4	42780.254	498.403431	1683095.955982
Test A	1	5	40575.27	498.403431	1683095.955982
Test A	1	6	2420.265	498.877743	1681495.740674
Test A	16	1	7299.031	67.887213	12356683.477713
Test B	16	1	12877.431	67.954796	12344394.29866
Test C	16	1	16392.676	88.469619	9481908.080536
Test C	16	1	12423.668	88.083671	9523454.14785
Test C	16	1	11093.842	68.217773	12296807.182975
Test C	16	1	12933.609	106.762681	7857247.400528
echo "Test C	16	1	12933.609	499.202334	1680402.399401
Test C	1	1	39674.793	499.202334	1680402.399401
Test C	1	2	41715.477	498.769178	1681861.745824
Test C	1	3	41504.572	498.64008	1682297.177878
Test C	1	4	39157.4	498.771887	1681852.60989
Test C	1	5	39956.003	499.508578	1679372.159911
Test C	2	1	22566.337	267.280148	3138507.688092
Test C	2	2	26021.532	267.736776	3133154.937084
Test C	2	3	23151.702	267.469663	3136283.913435
Test C	2	4	27804.707	268.580742	3123309.56581
Test C	2	4	27804.707	268.580742	3123309.56581
Test C	2	5	23959.876	267.650572	3134164.04338
Test C	4	1	13597.148	149.188577	5622821.914634
Test C	4	2	16993.075	149.483152	5611741.449226
Test C	4	3	16301.494	149.231108	5621219.410416
Test C	4	4	18121.123	149.149951	5624278.063539
Test C	4	5	12971.404	149.057815	5627754.562755
Test C	8	1	12682.61	91.627096	9155160.80062
Test C	8	2	11337.323	90.56665	9262358.739451
Test C	8	3	10277.664	91.513442	9166530.940368
Test C	8	4	11286.023	91.850126	9132930.343545
Test C	8	5	14387.003	91.565192	9161350.283437
Test C	16	1	10612.797	67.411888	12443811.056183
Test C	16	2	9643.92	68.195215	12300874.71755
Test C	16	3	7619.532	68.286874	12284363.699143
Test C	16	4	7345.627	68.232455	12294161.116492
Test C	16	5	9424.08	67.452993	12436228.064616
Test C	30	1	6373.183	51.89754	16163787.328849
Test C	30	2	8367.524	51.894647	16164688.322449
Test C	30	3	6341.605	52.019244	16125970.642333
Test C	30	4	5639.529	52.139192	16088872.364828
Test C	30	5	8098.352	51.759844	16206787.766739
Test C	1	1	41493.817	1079.455661	777114.642103
Test C	1	2	16751.444	1079.905045	776791.259152
Test C	30	1	7059.439	64.90836	12923771.341895
Test C	30	2	6500.147	62.642244	13391295.490814
Test C	30	3	9912.202	72.258116	11609225.998717
Test C	30	4	12232.77	62.674978	13384301.431076
Test C	30	5	8036.818	72.492859	11571633.551764
Test C	16	1	9146.94	70.804602	11847546.376833
Test C	16	2	8894.617	69.961784	11990271.717142
Test C	16	3	9652.344	88.360825	9493582.659439
Test C	16	4	9466.112	73.969474	11340634.903516
Test C	16	5	7487.059	69.930805	11995583.289075
Test C	1	3	4608.701	798.035651	1051157.049162
Test C	1	4	1974.596	788.699413	1063600.132452
Test C	1	5	3877.992	794.131142	1056325.278429
Test C	2	1	43740.853	557.818155	1503824.844677
Test C	2	2	41501.659	557.39397	1504969.275657
Test C	2	3	28353.507	557.394119	1504968.874296
Test C	2	4	43695.359	557.523432	1504619.809471
Test C	2	5	32161.236	411.606909	2038014.379129
Test C	4	1	18397.632	155.572904	5392075.209075
Test C	4	2	23880.601	242.571971	3458193.451454
Test C	4	3	23980.328	242.651075	3457066.083828
Test C	4	3	40019.592	242.651075	3457066.083828
Test C	4	4	21866.314	242.549163	3458518.63032
Test C	4	5	20503.661	236.625589	3545097.568397
Test C	8	1	13232.784	138.648633	6050263.773959
Test C	8	2	11764.566	119.076986	7044692.933093
Test C	8	3	16083.512	95.889219	8748228.505896
Test C	8	4	17429.916	178.563001	4697842.185792
Test C	8	5	9386.475	95.120537	8818924.109928
