																		
	ranks	power saved			ranks	avg power saved					for 26	run num	power saved	og power	mon power	og time 	mon time	avg power
	2	-0.82			26	17.29838						1	5.55					
	4	-0.22			16	5.83168						2						
	8	0.95			8	0.95062												
	16	5.83			4	-0.99452												
	26	17.23			2	-1.07042												
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
	timestamp	rank_count	repeat	worker_core_range	baseline_runtime_s	controlled_runtime_s	runtime_pct	baseline_energy_j	controlled_energy_j	energy_saved_j	energy_saved_pct	baseline_avg_power_w	controlled_avg_power_w	avg_power_delta_w	outdir	status		
	3/9/2026 22:16	26	1	29-Apr	1106.683869	1158.510347	4.68	138790.9673	116114.9563	22676.01102	16.33	125.411575	100.227811	25.183764	sweep_20260309_221645/n26_rep1	OK		
	3/9/2026 22:54	26	2	29-Apr	1156.043423	1166.861142	0.9357	144816.5939	116864.9964	27951.59746	19.3013	125.269164	100.153302	25.115862	sweep_20260309_221645/n26_rep2	OK		
	3/9/2026 23:33	26	3	29-Apr	1132.301887	1183.427824	4.5152	141627.1769	118286.4065	23340.77036	16.4804	125.07899	99.952362	25.126628	sweep_20260309_221645/n26_rep3	OK		
	3/10/2026 0:12	26	4	29-Apr	1145.321375	1179.984243	3.0264	143453.2097	118114.7008	25338.50884	17.6632	125.25149	100.09854	25.15295	sweep_20260309_221645/n26_rep4	OK		
	3/10/2026 0:51	26	5	29-Apr	1137.355859	1182.957877	4.0094	142267.1277	118484.2409	23782.88687	16.717	125.085852	100.159306	24.926546	sweep_20260309_221645/n26_rep5	OK		
	3/10/2026 1:29	16	1	19-Apr	469.197555	472.655611	0.737	47842.00505	44992.4001	2849.604952	5.9562	101.965589	95.190661	6.774928	sweep_20260309_221645/n16_rep1	OK		
	3/10/2026 1:45	16	2	19-Apr	462.872074	472.661055	2.1148	47110.49836	44926.37069	2184.127664	4.6361	101.778657	95.049867	6.72879	sweep_20260309_221645/n16_rep2	OK		
	3/10/2026 2:01	16	3	19-Apr	465.800551	468.457419	0.5703	47256.52213	44388.63735	2867.884784	6.0687	101.452267	94.754903	6.697364	sweep_20260309_221645/n16_rep3	OK		
	3/10/2026 2:16	16	4	19-Apr	474.880001	472.89473	-0.418	48500.53156	44930.57554	3569.956021	7.3606	102.132183	95.011791	7.120392	sweep_20260309_221645/n16_rep4	OK		
	3/10/2026 2:32	16	5	19-Apr	465.905614	472.692026	1.4566	47322.90415	44891.98426	2430.919895	5.1368	101.571869	94.970893	6.600976	sweep_20260309_221645/n16_rep5	OK		
	3/10/2026 2:48	8	1	11-Apr	649.688121	661.331637	1.7921	55750.02767	55115.79529	634.232383	1.1376	85.810446	83.34063	2.469816	sweep_20260309_221645/n8_rep1	OK		
	3/10/2026 3:10	8	2	11-Apr	644.522166	661.2234	2.5912	55056.28062	55045.81441	10.466209	0.019	85.421857	83.248436	2.173421	sweep_20260309_221645/n8_rep2	OK		
	3/10/2026 3:32	8	3	11-Apr	640.141224	661.910836	3.4007	54728.01195	55056.40928	-328.397324	-0.6	85.493653	83.177984	2.315669	sweep_20260309_221645/n8_rep3	OK		
	3/10/2026 3:53	8	4	11-Apr	651.87689	651.631791	-0.0375	55637.91827	54320.12365	1317.794613	2.3685	85.350346	83.360149	1.990197	sweep_20260309_221645/n8_rep4	OK		
	3/10/2026 4:15	8	5	11-Apr	649.632568	653.191585	0.5478	55405.01143	54392.1632	1012.848226	1.828	85.286689	83.271377	2.015312	sweep_20260309_221645/n8_rep5	OK		
	3/10/2026 8:31	4	1	7-Apr	1014.949306	1032.650807	1.744	76999.30121	78016.49056	-1017.189354	-1.321	75.865169	75.54973	0.315439	sweep_20260310_083114/n4_rep1	OK		
	3/10/2026 9:05	4	2	7-Apr	1006.053373	1014.086929	0.7985	76576.67066	76818.3534	-241.682737	-0.3156	76.115912	75.75125	0.364662	sweep_20260310_083114/n4_rep2	OK		
	3/10/2026 9:39	4	3	7-Apr	1011.823956	1026.069481	1.4079	77013.07032	77589.14327	-576.072947	-0.748	76.113112	75.617825	0.495287	sweep_20260310_083114/n4_rep3	OK		
	3/10/2026 10:13	4	4	7-Apr	1007.64371	1015.715797	0.801	76723.11618	76833.21237	-110.096189	-0.1434	76.141115	75.6444	0.496715	sweep_20260310_083114/n4_rep4	OK		
	3/10/2026 10:46	4	5	7-Apr	1008.709323	1041.184647	3.2194	76804.45094	78682.04269	-1877.591759	-2.4446	76.141311	75.56973	0.571581	sweep_20260310_083114/n4_rep5	OK		
	3/10/2026 11:21	2	1	5-Apr	1592.10833	1579.719941	-0.7781	115558.5013	114144.2717	1414.229598	1.2238	72.582059	72.256017	0.326042	sweep_20260310_083114/n2_rep1	OK		
	3/10/2026 12:13	2	2	5-Apr	1560.468731	1591.705335	2.0017	113123.9727	114675.6672	-1551.694581	-1.3716	72.493585	72.045789	0.447796	sweep_20260310_083114/n2_rep2	OK		
	3/10/2026 13:06	2	3	5-Apr	1559.632939	1600.645403	2.6296	112869.4716	115701.9811	-2832.509493	-2.5095	72.369253	72.28458	0.084673	sweep_20260310_083114/n2_rep3	OK		
	3/10/2026 13:59	2	4	5-Apr	1548.630263	1583.079441	2.2244	112322.2147	114099.5572	-1777.342549	-1.5823	72.530039	72.074435	0.455604	sweep_20260310_083114/n2_rep4	OK		
	3/10/2026 14:51	2	5	5-Apr	1566.404668	1590.965434	1.5679	113801.6888	115067.7882	-1266.099365	-1.1125	72.651525	72.325762	0.325763	sweep_20260310_083114/n2_rep5	OK		
