ranks,power saved,Unnamed: 2,Unnamed: 3,ranks.1,avg power saved,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,for 26,run num,power saved.1,og power,mon power,og time ,mon time,avg power
2,-0.82,,,26,17.29838,,,,,,1,5.55,,,,,
4,-0.22,,,16,5.83168,,,,,,2,,,,,,
8,0.95,,,8,0.95062,,,,,,,,,,,,
16,5.83,,,,,,,,,,,,,,,,
26,17.23,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
timestamp,rank_count,repeat,worker_core_range,baseline_runtime_s,controlled_runtime_s,runtime_pct,baseline_energy_j,controlled_energy_j,energy_saved_j,energy_saved_pct,baseline_avg_power_w,controlled_avg_power_w,avg_power_delta_w,outdir,status,,
2026-09-03 22:16:00,26,1,2026-04-29 00:00:00,1105.764118,1181.018485,6.8056,138848.4373,118205.7948,20642.64253,16.33,125.567863,100.088014,25.479849,sweep_20260309_221645/n26_rep1,OK,,
2026-09-03 22:54:00,26,2,2026-04-29 00:00:00,1156.043423,1166.861142,0.9357,144816.5939,116864.9964,27951.59746,19.3013,125.269164,100.153302,25.115862,sweep_20260309_221645/n26_rep2,OK,,
2026-09-03 23:33:00,26,3,2026-04-29 00:00:00,1132.301887,1183.427824,4.5152,141627.1769,118286.4065,23340.77036,16.4804,125.07899,99.952362,25.126628,sweep_20260309_221645/n26_rep3,OK,,
2026-10-03 00:12:00,26,4,2026-04-29 00:00:00,1145.321375,1179.984243,3.0264,143453.2097,118114.7008,25338.50884,17.6632,125.25149,100.09854,25.15295,sweep_20260309_221645/n26_rep4,OK,,
2026-10-03 00:51:00,26,5,2026-04-29 00:00:00,1137.355859,1182.957877,4.0094,142267.1277,118484.2409,23782.88687,16.717,125.085852,100.159306,24.926546,sweep_20260309_221645/n26_rep5,OK,,
2026-10-03 01:29:00,16,1,2026-04-19 00:00:00,469.197555,472.655611,0.737,47842.00505,44992.4001,2849.604952,5.9562,101.965589,95.190661,6.774928,sweep_20260309_221645/n16_rep1,OK,,
2026-10-03 01:45:00,16,2,2026-04-19 00:00:00,462.872074,472.661055,2.1148,47110.49836,44926.37069,2184.127664,4.6361,101.778657,95.049867,6.72879,sweep_20260309_221645/n16_rep2,OK,,
2026-10-03 02:01:00,16,3,2026-04-19 00:00:00,465.800551,468.457419,0.5703,47256.52213,44388.63735,2867.884784,6.0687,101.452267,94.754903,6.697364,sweep_20260309_221645/n16_rep3,OK,,
2026-10-03 02:16:00,16,4,2026-04-19 00:00:00,474.880001,472.89473,-0.418,48500.53156,44930.57554,3569.956021,7.3606,102.132183,95.011791,7.120392,sweep_20260309_221645/n16_rep4,OK,,
2026-10-03 02:32:00,16,5,2026-04-19 00:00:00,465.905614,472.692026,1.4566,47322.90415,44891.98426,2430.919895,5.1368,101.571869,94.970893,6.600976,sweep_20260309_221645/n16_rep5,OK,,
2026-10-03 02:48:00,8,1,2026-04-11 00:00:00,649.688121,661.331637,1.7921,55750.02767,55115.79529,634.232383,1.1376,85.810446,83.34063,2.469816,sweep_20260309_221645/n8_rep1,OK,,
2026-10-03 03:10:00,8,2,2026-04-11 00:00:00,644.522166,661.2234,2.5912,55056.28062,55045.81441,10.466209,0.019,85.421857,83.248436,2.173421,sweep_20260309_221645/n8_rep2,OK,,
2026-10-03 03:32:00,8,3,2026-04-11 00:00:00,640.141224,661.910836,3.4007,54728.01195,55056.40928,-328.397324,-0.6,85.493653,83.177984,2.315669,sweep_20260309_221645/n8_rep3,OK,,
2026-10-03 03:53:00,8,4,2026-04-11 00:00:00,651.87689,651.631791,-0.0375,55637.91827,54320.12365,1317.794613,2.3685,85.350346,83.360149,1.990197,sweep_20260309_221645/n8_rep4,OK,,
2026-10-03 04:15:00,8,5,2026-04-11 00:00:00,649.632568,653.191585,0.5478,55405.01143,54392.1632,1012.848226,1.828,85.286689,83.271377,2.015312,sweep_20260309_221645/n8_rep5,OK,,
